0.955,0.010051
2.865,0.010401
4.775,0.0091505
6.685,0.010401
8.595,0.0095005
10.505,0.0093505
12.415,0.010551
14.325,0.0094005
16.235,0.010651
18.145,0.010051
20.055,0.0092505
21.965,0.010151
23.875,0.0086004
25.785,0.010501
27.695,0.0088504
29.605,0.0098005
31.515,0.0093505
33.425,0.010901
35.335,0.010451
37.245,0.0093505
39.155,0.0089004
41.065,0.010951
42.975,0.010251
44.885,0.010401
46.795,0.0079504
48.705,0.0097505
50.615,0.0095505
52.525,0.0099005
54.435,0.010701
56.345,0.0098005
58.255,0.0098505
60.165,0.0099505
62.075,0.011351
63.985,0.0097505
65.895,0.010851
67.805,0.010101
69.715,0.0094005
71.625,0.010001
73.535,0.010551
75.445,0.010651
77.355,0.010651
79.265,0.011301
81.175,0.0098505
83.085,0.011201
84.995,0.012351
86.905,0.010851
88.815,0.012501
90.725,0.011651
92.635,0.010501
94.545,0.010851
96.455,0.013201
98.365,0.012051
100.27,0.013001
102.18,0.012901
104.09,0.014451
106,0.014701
107.91,0.015701
109.82,0.014301
111.73,0.014951
113.64,0.015951
115.55,0.016401
117.46,0.015851
119.37,0.016751
121.28,0.015951
123.19,0.016151
125.1,0.016201
127.01,0.015201
128.92,0.015001
130.84,0.016351
132.75,0.015751
134.65,0.015801
136.56,0.019401
138.47,0.015451
140.38,0.017001
142.29,0.016951
144.2,0.015701
146.12,0.012151
148.03,0.012151
149.94,0.010951
151.84,0.0098005
153.75,0.011351
155.66,0.0090505
157.57,0.0088504
159.48,0.0066003
161.39,0.0046502
163.3,0.0021501
165.22,0.00095005
167.13,0.00035002
169.03,0.00010001
170.94,0.00020001
172.85,0.00010001
174.76,0.00010001
176.68,0.00010001
178.59,5.0003e-05
180.5,0.00010001
182.41,0
184.31,0
186.22,0
188.13,5.0003e-05
190.04,5.0003e-05
