x	y
0	0
0.999651820563426	0.0263863154727678
0.999216653096073	0.0395737308764614
0.998576190380812	0.0539413651529345
0.997715113126509	0.0694775035232084
0.99661825618138	0.086170296875497
0.995270610305218	0.10400776330985
0.993657323920993	0.122977789709803
0.991763704845458	0.143068133340728
0.989575221998419	0.164266423474578
0.987077507090322	0.186560163040718
0.984256356287821	0.209936730302522
0.981097731856973	0.234383380559416
0.977587763783745	0.259887247874048
0.9737127513715	0.286435346824246
0.969459164815125	0.314014574279443
0.964813646751499	0.342611711201225
0.958589621754973	0.372213424467665
0.950706266185696	0.402806268721092
0.942410066313126	0.434376688238958
0.933688233741211	0.466911018827437
0.924528160920965	0.505489591518653
0.914917422544817	0.55008681082723
0.904843776915237	0.595529993441056
0.894295167287353	0.641805633086647
0.883259723185289	0.688900120522537
0.871725761691932	0.73679974559391
0.859681788711888	0.78549069930715
0.847116500207335	0.834959075923957
0.834018783406529	0.890237863940645
0.820377717984712	0.951293225219899
0.806182577217168	1.01300817620248
0.791422829104177	1.07536901216555
0.776088137467647	1.1383619381418
0.760168363019176	1.20698608950473
0.743653564399324	1.28120266208512
0.726533999187867	1.35593441173454
0.708800124884826	1.43116776759063
0.690442599862046	1.50688907566476
0.671452284285137	1.58308460118762
0.651820241005553	1.65974053096914
0.631537736422644	1.73684297577226
0.610596241315456	1.81437797270024
0.588987431644134	1.89233148759692
0.566703189320712	1.97068941745976
0.543735602949149	2.04943759286493
0.52007696853442	2.12856178040432
0.495719790160523	2.20804768513386
0.470656780637218	2.28788095303276
0.44488086211538	2.3680471734733
0.418385166670795	2.44853188170064
0.391163036856283	2.52932056132236
0.363208026221992	2.61039864680707
0.334513899803756	2.69175152599194
0.305074634579389	2.77336454259843
0.274884419892796	2.855222998756
0.243937657845796	2.93731215753326
0.212228963657554	3.01961724547605
0.179753165991526	3.10212345515221
0.146505307249814	3.18481594770234
0.112480643834867	3.26767985539635
0.0776746463784244	3.35070028419518
0.0420829999376444	3.43386231631727
0.00570160415834686	3.51715101280943
-0.031473426594698	3.60055141612157
-0.0694457631404829	3.68404855268483
-0.108218861417534	3.76762743549275
-0.147795962452778	3.85127306668492
-0.188180092363546	3.93497044013272
-0.229374062392749	4.01870454402675
-0.271380468977241	4.10246036346534
-0.314201693849404	4.18622288304387
-0.357839904171951	4.26997708944431
-0.402297052705973	4.35370797402461
-0.447574878012215	4.43740053540743
-0.493674904685591	4.52103978206785
-0.540598443622915	4.60461073491945
-0.588346592323844	4.68809842989847
-0.636920235224997	4.77148792054554
-0.686320044067234	4.85476428058447
-0.736546478296053	4.93791260649774
-0.787599785495067	5.02091802009819
-0.83948000185252	5.10376567109646
-0.897070383309968	5.18644073966378
-0.960406655737979	5.26892843898959
-1.02449516038459	5.35121401783358
-1.08933564459756	5.43328276307175
-1.15492764301967	5.51512000223594
-1.22127047828315	5.59671110604648
-1.2883632617364	5.67804149093748
-1.35620489420292	5.75909662157434
-1.42479406677244	5.83986201336296
-1.49412926162395	5.92032323495039
-1.56420875288072	6.00046591071623
-1.63503060749707	6.08027572325462
-1.70659268617686	6.15973841584614
-1.77889264432343	6.23883979491937
-1.85192793302107	6.31756573250159
-1.92569580004767	6.39590216865818
-2.0001932909185	6.47383511392041
-2.07541724996108	6.551350651701
-2.15136432142072	6.62843494069724
-2.22803095059679	6.7050742172811
-2.30541338500956	6.78125479787595
-2.38350767559721	6.85696308131955
-2.46230967794312	6.9321855512128
-2.54181505353306	7.00690877825382
-2.62201927104215	7.08111942255716
-2.70291760765143	7.15607777634573
-2.78450515039379	7.23170076164529
-2.86677679752909	7.30675312532919
-2.94972725994824	7.38122204739421
-3.03335106260603	7.45509480756465
-3.11764254598249	7.52835878752076
-3.20259586757254	7.60100147310934
-3.28820500340378	7.67301045653602
-3.37446374958202	7.74437343853904
-3.46136572386448	7.81507823054391
-3.54890436726033	7.88511275679879
-3.64277656958419	7.9544650564901
-3.74297953492147	8.02312328583797
-3.84371286312519	8.0910757201713
-3.95076805668563	8.15831075598196
-4.06413901540976	8.22481691295773
-4.1779330199144	8.2905828359938
-4.29214360091094	8.3555972971823
-4.40676411652138	8.41984919777962
-4.52178775418512	8.48332757015116
-4.63720753258993	8.54602157969313
-4.75301630362659	8.60792052673113
-4.86920675436709	8.66901384839509
-4.98577140906604	8.72929112047039
-5.1027026311849	8.7887420592247
-5.21999262543886	8.84735652321021
-5.3376334398659	8.90512451504114
-5.45561696791785	8.96139896683851
-5.57393495057302	9.01609876741412
-5.69257897847014	9.06914307972229
-5.81154049406326	9.12045135493336
-5.93081079379723	9.17088771839349
-6.05038103030351	9.22044290553961
-6.17024221461586	9.26910780884702
-6.29038521840563	9.31687347938779
-6.41080077623635	9.36373112836174
-6.53147948783709	9.4096721285997
-6.65241182039442	9.45468801603896
-6.77358811086252	9.49877049117036
-6.89499856829104	9.54191142045702
-7.01663327617047	9.5841028377244
-7.13848219479445	9.62533694552136
-7.26053516363887	9.665606116452
-7.38278190375721	9.70490289447824
-7.5052120201918	9.74321999619258
-7.62781500440061	9.7805503120611
-7.75058023669927	9.81688690763635
-7.87349698871767	9.85222302473999
-7.99655442587114	9.88655208261478
-8.11974160984541	9.91986767904607
-8.24835838494404	9.95216359145224
-8.38236119462494	9.98343377794408
-8.51638091873726	10.013672378353
-8.65040682481506	10.0428737152274
-8.7844280848161	10.0710322947982
-8.9184337777157	10.0981428079116
-9.05241289211154	10.1242001309304
-9.18635432883882	10.1491993266034
-9.32024690359556	10.173135644902
-9.45407934957748	10.1960045238248
