3.1	0.028323
9.3	0.028277
15.5	0.02839
21.7	0.028576
27.9	0.028745
34.1	0.029195
40.3	0.029568
46.5	0.030258
52.7	0.030933
58.9	0.031874
65.1	0.032899
71.3	0.034292
77.5	0.036107
83.7	0.038492
89.9	0.04098
96.1	0.043481
102.3	0.045756
108.5	0.047014
114.7	0.047605
120.9	0.047107
127.1	0.045271
133.3	0.042082
139.5	0.037976
145.7	0.033634
151.9	0.028724
158.1	0.024299
164.3	0.019683
170.5	0.015654
176.7	0.0122
182.9	0.0093006
189.1	0.0069096
195.3	0.0050591
201.5	0.0036074
207.7	0.0025585
213.9	0.0017848
220.1	0.0012216
226.3	0.0007865
232.5	0.0004959
238.7	0.0003101
244.9	0.0002077
251.1	0.0001406
257.3	9.15e-05
